penalizer,l1_ratio,score0,score1,score2,score_mean
0.0001,0.0,-5.530307101209987,-5.537631265866663,-5.5370463176783575,-5.534994894918335
0.001,0.0,-5.530243476208607,-5.537584423636086,-5.537087929343524,-5.5349719430627395
0.01,0.0,-5.530177978997754,-5.537427306831078,-5.537231413943384,-5.534945566590739
0.1,0.0,-5.53217490211161,-5.538964493058824,-5.539485297596147,-5.53687489758886
1.0,0.0,-5.564101988376216,-5.569602785009721,-5.571481636974372,-5.568395470120103
10.0,0.0,-5.629986919899805,-5.636099104088423,-5.637847790814719,-5.634644604934316
100.0,0.0,-5.650952678400568,-5.657375259606794,-5.658753587812493,-5.655693841939953
0.0001,0.25,-5.530278399637161,-5.53760925153255,-5.537053832022462,-5.534980494397391
0.001,0.25,-5.530191232929216,-5.537441821680191,-5.537162213010189,-5.534931755873198
0.01,0.25,-5.530642329997016,-5.5375379104115785,-5.537564630319897,-5.535248290242831
0.1,0.25,-5.5532909732142866,-5.5573793042907464,-5.5593253479957,-5.556665208500244
1.0,0.25,-5.653846025941717,-5.6603124193489185,-5.661633021635866,-5.658597155642167
10.0,0.25,-5.653845988224441,-5.660312431714336,-5.66163298301317,-5.658597134317316
100.0,0.25,-5.653845975262813,-5.660312418551653,-5.661632970115591,-5.658597121310019
0.0001,0.5,-5.530266278296801,-5.537591355954639,-5.537061701937128,-5.534973112062855
0.001,0.5,-5.530179565583365,-5.537377407990907,-5.537166592387059,-5.534907855320444
0.01,0.5,-5.531886951748507,-5.538475607395803,-5.5385313500894915,-5.536297969744601
0.1,0.5,-5.576113002425178,-5.578972796973177,-5.581066949289454,-5.578717582895936
1.0,0.5,-5.653845976480497,-5.660312419957196,-5.661632971357351,-5.658597122598349
10.0,0.5,-5.653846021948646,-5.660312465947352,-5.661633016568848,-5.658597168154948
100.0,0.5,-5.653846010905,-5.66031245473511,-5.661633005580132,-5.658597157073413
0.0001,0.75,-5.530252906401005,-5.537573896987336,-5.537069309424397,-5.53496537093758
0.001,0.75,-5.530152539052784,-5.5373448522362985,-5.537159931165053,-5.534885774151378
0.01,0.75,-5.533641281350632,-5.539583157611699,-5.539934520423511,-5.537719653128614
0.1,0.75,-5.593972929339866,-5.598148378233164,-5.600519241356187,-5.597546849643073
1.0,0.75,-5.6538460090769584,-5.66031245293046,-5.661633003769024,-5.658597155258814
10.0,0.75,-5.653845998749829,-5.660312442395768,-5.661632993485599,-5.658597144877066
100.0,0.75,-5.6538459862865045,-5.660312429742725,-5.6616329810843355,-5.658597132371188
0.0001,1.0,-5.53023784709515,-5.537557789542806,-5.537077338433592,-5.534957658357183
0.001,1.0,-5.5301593997758,-5.537344091637627,-5.537181337240212,-5.534894942884546
0.01,1.0,-5.5355521129308425,-5.540936073635254,-5.541492274534486,-5.53932682036686
0.1,1.0,-5.60926836474671,-5.613037465330806,-5.61696587850953,-5.6130905695290165
1.0,1.0,-5.653846014624321,-5.660312458536588,-5.661633009284591,-5.658597160815167
10.0,1.0,-5.6538460039178835,-5.660312447642109,-5.6616329986278675,-5.658597150062621
100.0,1.0,-5.653845991756426,-5.660312435295716,-5.6616329865269925,-5.6585971378597115
